# Various systems of set abbreviations used by various sites & programs

# Systems listed here, in order of appearance:
# - abbreviations used in the URLs of the expansion symbols on Gatherer
# - abbreviations listed on
#   <http://en.wikipedia.org/wiki/List_of_Magic:_The_Gathering_sets>, which
#   are/were apparently used internally by Wizards for some purposes
# - abbreviations used by magiccards.info

# Long set names are as listed on Gatherer.

Limited Edition Alpha			1E	LEA	al
Limited Edition Beta			2E	LEB	be
Unlimited Edition			2U	2ED	un
Revised Edition				3E	3ED	rv
Fourth Edition				4E	4ED	4e
Fifth Edition				5E	5ED	5e
Classic Sixth Edition			6E	6ED	6e
Seventh Edition				7E	7ED	7e
Eighth Edition				8ED	8ED	8e
Ninth Edition				9ED	9ED	9e
Tenth Edition				10E	10E	10e
Magic 2010				M10	M10	m10
Magic 2011				M11	M11	m11
Magic 2012				M12	M12	m12
Magic 2013				M13	M13	m13
Magic 2014 Core Set			M14	M14	m14

Arabian Nights				AN	ARN	an
Antiquities				AQ	ATQ	aq
Legends					LE	LEG	lg
The Dark				DK	DRK	dk
Fallen Empires				FE	FEM	fe
Ice Age					IA	ICE	ia
Homelands				HM	HML	hl
Alliances				AL	ALL	ai
Mirage					MI	MIR	mr
Visions					VI	VIS	vi
Weatherlight				WL	WTH	wl
Tempest					TE	TMP	tp
Stronghold				ST	STH	sh
Exodus					EX	EXO	ex
Urza's Saga				UZ	USG	us
Urza's Legacy				GU	ULG	ul
Urza's Destiny				CG	UDS	ud
Mercadian Masques			MM	MMQ	mm
Nemesis					NE	NMS	ne
Prophecy				PR	PCY	pr
Invasion				IN	INV	in
Planeshift				PS	PLS	ps
Apocalypse				AP	APC	ap
Odyssey					OD	ODY	od
Torment					TOR	TOR	tr
Judgment				JUD	JUD	ju
Onslaught				ONS	ONS	on
Legions					LGN	LGN	le
Scourge					SCG	SCG	sc
Mirrodin				MRD	MRD	mi
Darksteel				DST	DST	ds
Fifth Dawn				5DN	5DN	5dn
Champions of Kamigawa			CHK	CHK	chk
Betrayers of Kamigawa			BOK	BOK	bok
Saviors of Kamigawa			SOK	SOK	sok
Ravnica: City of Guilds			RAV	RAV	rav
Guildpact				GPT	GPT	gp
Dissension				DIS	DIS	di
Coldsnap				CSP	CSP	cs
Time Spiral				TSP	TSP	ts
Time Spiral "Timeshifted"		TSB	TSB	tsts
Planar Chaos				PLC	PLC	pc
Future Sight				FUT	FUT	fut
Lorwyn					LRW	LRW	lw
Morningtide				MOR	MOR	mt
Shadowmoor				SHM	SHM	shm
Eventide				EVE	EVE	eve
Shards of Alara				ALA	ALA	ala
Conflux					CON	CON	cfx
Alara Reborn				ARB	ARB	arb
Zendikar				ZEN	ZEN	zen
Worldwake				WWK	WWK	wwk
Rise of the Eldrazi			ROE	ROE	roe
Scars of Mirrodin			SOM	SOM	som
Mirrodin Besieged			MBS	MBS	mbs
New Phyrexia				NPH	NPH	nph
Innistrad				ISD	ISD	isd
Dark Ascension				DKA	DKA	dka
Avacyn Restored				AVR	AVR	avr
Return to Ravnica			RTR	RTR	rtr
Gatecrash				GTC	GTC	gtc
Dragon's Maze				DGM	DGM	dgm
Theros					THS	THS	ths
#Born of the Gods			BNG	BNG	???
#Journey into Nyx			???	???	???

Promo set for Gatherer			PPR	???	---

Portal					PO	POR	po
Portal Second Age			P2	P02	po2
Portal Three Kingdoms			PK	PTK	p3k
Starter 1999				P3	S99	st
Starter 2000				P4	S00	st2k

Vanguard				VAN	???	---
Planechase				HOP	HOP	pch
Archenemy				ARC	ARC	arc
Magic: The Gathering-Commander		CMD	CMD	cmd
Planechase 2012 Edition			PC2	PC2	pc2
Commander 2013 Edition			C13	C13	???

Unglued					UG	UGL	ug
Unhinged				UNH	UNH	uh

Chronicles				CH	CHR	ch
Battle Royale Box Set			BR	BRB	br
Beatdown Box Set			BD	BTD	bd
Commander's Arsenal			CM1	CM1	cma
Modern Masters				MMA	MMA	mma

Duel Decks: Elves vs. Goblins		EVG	EVG	evg
Duel Decks: Jace vs. Chandra		DD2	DD2	jvc
Duel Decks: Divine vs. Demonic		DDC	DDC	dvd
Duel Decks: Garruk vs. Liliana		DDD	DDD	gvl
Duel Decks: Phyrexia vs. the Coalition	DDE	DDE	pvc
Duel Decks: Elspeth vs. Tezzeret	DDF	DDF	ddf
Duel Decks: Knights vs. Dragons		DDG	DDG	ddg
Duel Decks: Ajani vs. Nicol Bolas	DDH	DDH	ddh
Duel Decks: Venser vs. Koth		DDI	DDI	ddi
Duel Decks: Izzet vs. Golgari		DDJ	DDJ	ddj
Duel Decks: Sorin vs. Tibalt		DDK	DDK	ddk
Duel Decks: Heroes vs. Monsters		DDL	DDL	ddl
#Duel Decks: Jace vs. Vraska		???	???	???

From the Vault: Dragons			DRB	DRB	fvd
From the Vault: Exiled			V09	V09	fve
From the Vault: Relics			V10	V10	fvr
From the Vault: Legends			V11	V11	fvl
From the Vault: Realms			V12	V12	v12
From the Vault: Twenty			V13	V13	v13

Premium Deck Series: Slivers		H09	H09	pds
Premium Deck Series: Fire and Lightning	PD2	PD2	pd2
Premium Deck Series: Graveborn		PD3	PD3	pd3

Masters Edition				MED	MED	med
Masters Edition II			ME2	ME2	me2
Masters Edition III			ME3	ME3	me3
Masters Edition IV			ME4	ME4	me4
#Vintage Masters			???	???	???
