Blood Knight		Black Knight
Bog Serpent		Sea Serpent
Brute Force		Giant Growth
Calciderm		Blastoderm
Damnation		Wrath of God
Dunerider Outlaw	Whirling Dervish
Essence Warden		Soul Warden
Fa'adiyah Seer		Sindbad
Frozen Æther		Kismet
Gaea's Anthem		Glorious Anthem
Gossamer Phantasm	Skulking Ghost
Groundbreaker		Ball Lightning
Harmonize		Concentrate
Healing Leaves		Healing Salve
Hedge Troll		Sedge Troll
Keen Sense		Curiosity
Kor Dirge		Kor Chant
Malach of the Dawn	Ghost Ship
Mana Tithe		Force Spike
Melancholy		Thirst
Merfolk Thaumaturgist	Dwarven Thaumaturgist
Mesa Enchantress	Verduran Enchantress
Molten Firebird		Ivory Gargoyle
Mycologist		Elvish Farmer
Null Profusion		Recycle
Ovinize			Humble
Piracy Charm		Funeral Charm
Porphyry Nodes		Drop of Honey
Primal Plasma		Primal Clay
Prodigal Pyromancer	Prodigal Sorcerer
Pyrohemia		Pestilence
Rathi Trapper		Master Decoy
Reckless Wurm		Arrogant Wurm
Revered Dead		Drudge Skeletons
Riptide Pilferer	Headhunter
Seal of Primordium	Seal of Cleansing
Serendib Sorcerer	Sorceress Queen
Serra Sphinx		Serra Angel
Shivan Wumpus		Argothian Wurm
Shrouded Lore		Forgotten Lore
Simian Spirit Guide	Elvish Spirit Guide
Sinew Sliver		Muscle Sliver
Skirk Shaman		Severed Legion
Sunlance		Strafe
Vampiric Link		Spirit Link
